> Longitude	Latitude	Age
-108.729	47.816	50
-108.699	47.847	48
-108.697	47.848	48
-108.442	47.841	50
-108.394	47.846	50
-105.613	40.393	386
-105.562	40.857	600
-105.442	40.889	614.5
-105.439	40.890	614.5
-105.436	40.891	614.5
-105.386	40.869	400
-105.371	40.872	400
-105.368	40.869	400
-105.349	40.880	572
-105.316	40.013	572
-96.723	39.430	104
-88.177	46.175	180
-82.996	38.126	89
-82.981	38.128	89
-79.917	39.893	149
-79.045	40.708	89
-76.535	42.455	146
-105.146	41.564	408
-65.830	6.382	712
-65.822	6.401	729
-65.815	6.396	730
-65.802	6.308	1732
28.792	-19.718	532.5
29.880	-22.171	520
30.500	-20.417	375
-83.310	69.172	600
-91.201	63.142	200
-90.931	68.281	540
-114.913	56.862	90
