# Age	Deep_ocean_temp 	"(Scotese et al., ESR, 2021)"
683.1672554	6.8357382	
683.3275824	6.7399364	
683.4879093	6.6440845	
683.6482363	6.5478692	
683.8085633	6.4508657	
683.9042187	6.3930302	
683.999874	6.3352265	
684.0955294	6.2773514	
684.1911848	6.2191663	
684.2868402	6.1592374	
684.6056915	5.9634428	
684.9245428	5.7666225	
685.1610653	5.617033	
685.3975879	5.4653625	
685.6341104	5.3140445	
685.870633	5.1669955	
686.1071555	5.007441	
686.2467247	4.9154882	
686.3862938	4.8292418	
686.525863	4.7510252	
686.6654322	4.683207	
686.7554322	4.6474032	
686.8454322	4.6178389	
686.9354322	4.5987906	
687.0254322	4.5931211	
687.3254322	4.573915	
687.6254322	4.5543075	
687.9254322	4.534338	
688.2254322	4.5139217	
688.5254322	4.4928718	
688.8254322	4.4712005	
689.1254322	4.4488196	
689.4254322	4.4264054	
689.8248727	4.3943443	
690.2243131	4.360424	
690.6237536	4.3253131	
691.0231941	4.2876959	
691.4226346	4.2483201	
691.5731983	4.2327743	
691.7237621	4.2169666	
691.8743258	4.2007771	
692.0248896	4.1837053	
692.1754533	4.1666045	
692.2839434	4.1542888	
692.3924335	4.1419821	
692.5009236	4.1297102	
692.6094137	4.1176515	
692.7179037	4.1063433	
692.9895581	4.0756817	
693.2612124	4.0441141	
693.5328667	4.0121269	
693.8045211	3.9788585	
694.0761754	3.9430542	
694.1277476	3.9357257	
694.1793199	3.9281476	
694.2308922	3.9202971	
694.2824644	3.9121282	
694.3340367	3.9034491	
694.5059442	3.8708665	
694.6334229	3.842459	
694.7609016	3.8120449	
694.8883803	3.7782903	
695.015859	3.7281668	
695.1433377	3.6766682	
695.5682667	3.5057518	
695.6995508	3.4530988	
695.8308349	3.4005136	
695.9621191	3.3480666	
696.0934032	3.2955637	
696.2246874	3.2411985	
696.6623012	3.0653169	
697.099915	2.8934405	
697.5375288	2.719547	
697.6554051	2.6726003	
697.7732815	2.625778	
697.8911578	2.5791113	
698.0090341	2.5328617	
698.1269105	2.4871101	
698.2447868	2.44138	
698.4813672	2.3527219	
698.7179476	2.2684829	
698.954528	2.1910446	
699.1911084	2.1226044	
699.4276888	2.0662398	
699.5101796	2.0496891	
699.5926703	2.0348849	
699.6751611	2.0213175	
699.7576518	1.9970783	
700.032621	1.992725	
700.3075902	1.9880342	
700.5825594	1.9828428	
701.4991233	1.9642534	
701.7991233	1.9570932	
702.0991233	1.9494686	
702.3991233	1.9413062	
702.6991233	1.9326226	
702.9991233	1.9235166	
703.2546554	1.9152997	
703.5101875	1.9067906	
703.7657196	1.8980337	
704.0212517	1.8889296	
704.216076	1.8820229	
704.4109003	1.8751118	
704.6057245	1.8682928	
704.8005488	1.8614962	
704.9953731	1.8554792	
705.2600787	1.8470805	
705.5247843	1.8390942	
705.7894899	1.8327528	
706.0541955	1.8294433	
706.2984901	1.8259358	
706.5427847	1.8220141	
706.7870793	1.8177018	
707.0313739	1.8130227	
707.2631553	1.8083652	
707.4949366	1.8023181	
707.726718	1.791216	
707.9584993	1.7794386	
708.1502345	1.7691487	
708.3419696	1.7583539	
708.5337048	1.7470211	
708.7254399	1.7351686	
708.9171751	1.72305	
709.5562923	1.6772121	
709.7157884	1.6646729	
709.8752844	1.6516224	
710.0347805	1.6380408	
710.1942766	1.6238928	
710.3537727	1.6090735	
710.4847199	1.5964496	
710.615667	1.5834104	
710.7466142	1.5699421	
710.8775614	1.5559958	
711.0056735	1.541576	
711.1337856	1.5269978	
711.2618977	1.5122905	
711.3900098	1.4975158	
711.8170502	1.4465319	
711.9731025	1.4275558	
712.1291549	1.4083421	
712.2852072	1.3889047	
712.4412596	1.3692523	
712.597312	1.3494524	
712.8191159	1.3208606	
713.0409199	1.2915926	
713.2627239	1.2620577	
713.4845279	1.2325121	
713.7063319	1.2031053	
713.7957179	1.1910503	
713.8851039	1.178609	
713.9744899	1.1648796	
714.0638759	1.1466966	
714.3052659	1.0983434	
714.5466559	1.0506728	
714.7880459	1.0036021	
715.0294359	0.95580328	
715.2708258	0.9100374	
715.3135557	0.90218222	
715.3562855	0.89441037	
715.3990154	0.88672322	
715.4417452	0.87912118	
715.484475	0.87156761	
715.6269078	0.8473385	
715.7027373	0.8349641	
715.7785668	0.82296014	
715.8543963	0.81122762	
715.9302257	0.79980701	
716.0060552	0.78928071	
716.1389238	0.77085936	
716.2717925	0.75250095	
716.4046611	0.73421502	
716.5375297	0.7160151	
716.5742997	0.71099699	
716.6110697	0.70598704	
716.6478396	0.70098662	
716.6846096	0.69600767	
716.7733479	0.68399245	
716.8620861	0.67201453	
716.9508243	0.66011912	
717.0395625	0.64749575	
717.1283008	0.63402939	
717.4240949	0.58916599	
717.5274165	0.57350534	
717.6307382	0.55785245	
717.7340599	0.54220855	
717.8373815	0.52657419	
717.9407032	0.51095402	
718.0275169	0.49784097	
718.1143307	0.48473743	
718.2011444	0.47164512	
718.2879581	0.45856345	
718.3713877	0.44600782	
718.4548172	0.43346566	
718.5382467	0.42092937	
718.6216763	0.40839446	
718.7051058	0.39590478	
718.9832042	0.35079658	
719.2613027	0.30546534	
719.3967481	0.28328818	
719.5321935	0.26104087	
719.6676389	0.23865846	
719.8030843	0.21605012	
719.9385297	0.19333994	
720.0240448	0.18395336	
720.10956	0.18716039	
720.1950752	0.19014801	
720.2805903	0.19288628	
720.3661055	0.19534396	
720.4826609	0.19817109	
720.5992164	0.20032944	
720.7157718	0.2019009	
720.8323272	0.23658878	
720.9488827	0.25091407	
721.095585	0.25227404	
721.2422873	0.25370085	
721.3889896	0.25503162	
721.8779972	0.26037514	
722.1903988	0.26421842	
722.5028003	0.26813865	
722.8152019	0.27237847	
723.1276034	0.27710116	
723.440005	0.2818948	
723.5693823	0.2838991	
723.6987595	0.28591317	
723.8281368	0.28793055	
723.9575141	0.28995332	
723.975949	0.29024136	
723.9943839	0.29052961	
724.0128189	0.29081798	
724.0312538	0.29110578	
724.0496887	0.29135931	
724.2545211	0.29444385	
724.4257982	0.29686934	
724.5970753	0.29950181	
724.7683525	0.3024103	
724.9396296	0.30504358	
725.1109067	0.30866069	
725.2407041	0.31209123	
725.3705016	0.31664103	
725.500299	0.32264116	
725.6300965	0.33060586	
725.7995247	0.34361798	
725.8553695	0.34914762	
725.9112142	0.35504249	
725.967059	0.3617394	
726.0229037	0.36927849	
726.0787485	0.37677619	
726.2393972	0.39840224	
726.4000458	0.41998258	
726.5606945	0.4415496	
726.7213432	0.46305498	
727.2568387	0.53312242	
727.3103883	0.54009122	
727.3639378	0.54705226	
727.4174874	0.5539999	
727.4710369	0.5609349	
727.5911164	0.57646173	
727.7111959	0.59194309	
727.8312754	0.6073662	
727.9513549	0.6226511	
728.0714344	0.63781178	
728.284374	0.66463757	
728.4973137	0.69139493	
728.7102534	0.7181471	
728.923193	0.74481177	
729.1361327	0.77168208	
729.2374033	0.7844758	
729.3386739	0.79727823	
729.4399446	0.80960751	
729.5412152	0.82655811	
729.878784	0.86865938	
729.9485736	0.87804955	
730.0183632	0.88761073	
730.0881529	0.89705616	
730.1579425	0.90637279	
730.2277322	0.91571385	
730.4603644	0.94417018	
730.5159406	0.95050639	
730.5715168	0.95660436	
730.627093	0.96250278	
730.6826693	0.96950948	
730.8679234	0.98597825	
731.0531775	0.99578559	
731.2384315	1.0057201	
731.8559452	1.0386589	
732.4734588	1.0719962	
732.65021	1.0816207	
732.8269612	1.0912805	
733.0037124	1.1009686	
733.1804636	1.1106992	
733.3018918	1.1173999	
733.4233201	1.1241128	
733.5447484	1.1308343	
733.6661766	1.1375768	
733.7876049	1.144282	
733.9815248	1.1550119	
734.1754447	1.1657449	
734.3693646	1.1764613	
734.5632845	1.1870832	
734.5924537	1.1886668	
734.6216229	1.1902446	
734.650792	1.1918175	
734.6799612	1.1933944	
734.7091304	1.1954194	
735.0332322	1.2119819	
735.3573341	1.2286478	
735.5237424	1.2372493	
735.6901507	1.2458689	
735.856559	1.254483	
736.0229672	1.262898	
736.5776615	1.2916656	
736.7763891	1.3019764	
736.9751166	1.3121895	
737.1738442	1.322428	
737.3725718	1.3327086	
737.6012132	1.3445725	
737.8298547	1.3564332	
738.0584962	1.3681815	
738.2871376	1.379981	
738.4310928	1.3874178	
738.575048	1.3948781	
738.7190032	1.4023721	
738.8629584	1.4100928	
739.3428091	1.4349158	
739.5426743	1.4455543	
739.7425395	1.4563316	
739.9424047	1.4676073	
740.1422699	1.479082	
740.3279572	1.489803	
740.5136444	1.5005506	
740.6993317	1.5113589	
740.885019	1.5221833	
741.0707062	1.5330411	
741.3325622	1.5484296	
741.5944182	1.5638984	
741.8562741	1.5793664	
742.1181301	1.5947886	
742.3799861	1.6101934	
742.5518598	1.620304	
742.7237335	1.630336	
742.8956073	1.6402359	
743.067481	1.649915	
743.2393547	1.659299	
743.328015	1.6640222	
743.4166752	1.6686119	
743.5053354	1.6730444	
743.5939957	1.6773257	
743.6716104	1.6808772	
743.7492251	1.6842895	
743.8268398	1.68751	
743.9044545	1.6901686	
743.9820692	1.6879354	
744.2407848	1.686919	
744.4995004	1.6887712	
744.7582161	1.6924472	
745.0169317	1.6559842	
745.3323729	1.604579	
745.6478141	1.5500236	
745.9632552	1.5579582	
746.3527497	1.578351	
746.7422441	1.603256	
747.1317386	1.6387866	
747.3447079	1.6596267	
747.5576773	1.6715497	
747.7706466	1.7085316	
747.983616	1.746527	
748.2312584	1.7937281	
748.4789008	1.8423545	
748.7265431	1.8932289	
748.9741855	1.9505391	
749.2218279	2.0127482	
749.2811889	2.0286117	
749.3405499	2.0449696	
749.399911	2.0618808	
749.459272	2.0793712	
749.518633	2.097764	
749.5883534	2.1201732	
749.6580739	2.1437783	
749.7277943	2.1687508	
749.7975148	2.1951792	
749.8508733	2.2165058	
749.9042319	2.2387326	
749.9575905	2.2622092	
750.010949	2.2866042	
750.1888109	2.3722279	
750.2278675	2.3907728	
750.2669241	2.405951	
750.3059807	2.4200191	
750.3450374	2.4339085	
750.384094	2.4475403	
750.5142826	2.490798	
750.6444713	2.5313866	
750.77466	2.5703959	
750.9048486	2.606277	
750.9891907	2.6250536	
751.0735328	2.6432433	
751.1578749	2.6613982	
751.242217	2.6795068	
751.3265591	2.6975603	
751.3546731	2.703567	
751.3827872	2.709568	
751.4109012	2.7155633	
751.4390152	2.7215533	
751.4671293	2.7275376	
751.4983671	2.7341795	
751.5296049	2.7408147	
751.5608427	2.7474418	
751.5920805	2.7540603	
751.6233183	2.760669	
751.7175692	2.780539	
751.8118201	2.800307	
751.9060709	2.8199782	
752.0003218	2.8395433	
752.0945727	2.8597059	
752.4087422	2.9217844	
